t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV
2.300000000000000000e+01,6.500000000000000000e+01,1.371494616523625893e+02,-7.619738704686510289e+01,4.047925394502509100e+00,0.000000000000000000e+00,6.550000000000000000e+01,1.671000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,6.500000000000000000e+01,1.368683600707836376e+02,-7.519194716843577453e+01,3.323587097652132005e+00,0.000000000000000000e+00,6.550000000000000000e+01,1.680999999999999872e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,6.500000000000000000e+01,1.362499365913099894e+02,-7.363678751530842703e+01,2.386850923998438567e+00,0.000000000000000000e+00,6.550000000000000000e+01,1.703000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,6.500000000000000000e+01,1.358845045352573777e+02,-7.266806596582000566e+01,1.783561430562633721e+00,0.000000000000000000e+00,6.550000000000000000e+01,1.716000000000000014e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,6.500000000000000000e+01,1.353504115302573894e+02,-7.145285681157800184e+01,1.102445281320616699e+00,0.000000000000000000e+00,6.550000000000000000e+01,1.735000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.800000000000000000e+01,6.500000000000000000e+01,1.350693099486784661e+02,-7.079400732205537849e+01,7.246973733769092041e-01,0.000000000000000000e+00,6.550000000000000000e+01,1.744999999999999929e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.900000000000000000e+01,6.500000000000000000e+01,1.344227763110469027e+02,-6.949174263294820264e+01,6.896632190130580486e-02,0.000000000000000000e+00,6.550000000000000000e+01,1.767999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+01,6.500000000000000000e+01,1.338886833060469144e+02,-6.847828740767313604e+01,-4.103958983737814870e-01,0.000000000000000000e+00,6.550000000000000000e+01,1.787000000000000099e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.100000000000000000e+01,6.500000000000000000e+01,1.335232512499943311e+02,-6.783871384994851894e+01,-6.845374000458188668e-01,0.000000000000000000e+00,6.550000000000000000e+01,1.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.200000000000000000e+01,6.500000000000000000e+01,1.326237261889417312e+02,-6.622605806878200951e+01,-1.397668120159723415e+00,0.000000000000000000e+00,6.550000000000000000e+01,1.832000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.300000000000000000e+01,6.500000000000000000e+01,1.326237261889417312e+02,-6.639051965694913804e+01,-1.233206531992586230e+00,0.000000000000000000e+00,6.550000000000000000e+01,1.832000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.400000000000000000e+01,6.500000000000000000e+01,1.318085316023628195e+02,-6.500116288361819272e+01,-1.807368718744626346e+00,0.000000000000000000e+00,6.550000000000000000e+01,1.860999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.500000000000000000e+01,6.500000000000000000e+01,1.314430995463102079e+02,-6.452596909913918921e+01,-1.917130447171024876e+00,0.000000000000000000e+00,6.550000000000000000e+01,1.873999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.600000000000000000e+01,6.500000000000000000e+01,1.308246760668365312e+02,-6.358747710704315637e+01,-2.237198959793374797e+00,0.000000000000000000e+00,6.550000000000000000e+01,1.896000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.700000000000000000e+01,6.500000000000000000e+01,1.305435744852576079e+02,-6.332159872982154525e+01,-2.221975755436063515e+00,0.000000000000000000e+00,6.550000000000000000e+01,1.905999999999999872e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.800000000000000000e+01,6.500000000000000000e+01,1.298970408476260445e+02,-6.236606481004653091e+01,-2.530976037579511395e+00,0.000000000000000000e+00,6.550000000000000000e+01,1.928999999999999915e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.900000000000000000e+01,6.500000000000000000e+01,1.295316087915734329e+02,-6.197601685321316012e+01,-2.555591938360270543e+00,0.000000000000000000e+00,6.550000000000000000e+01,1.942000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+01,6.500000000000000000e+01,1.289975157865734730e+02,-6.127138960612116136e+01,-2.726126180452314696e+00,0.000000000000000000e+00,6.550000000000000000e+01,1.960999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.100000000000000000e+01,6.500000000000000000e+01,1.280979907255208730e+02,-5.989896462679299560e+01,-3.199026098727875578e+00,0.000000000000000000e+00,6.550000000000000000e+01,1.992999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.200000000000000000e+01,6.500000000000000000e+01,1.280979907255208730e+02,-6.027538940546276081e+01,-2.822601320058113039e+00,0.000000000000000000e+00,6.550000000000000000e+01,1.992999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.300000000000000000e+01,6.500000000000000000e+01,1.273671266134156355e+02,-5.923179232414751993e+01,-3.135334289268115082e+00,0.000000000000000000e+00,6.550000000000000000e+01,2.019000000000000128e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.400000000000000000e+01,6.500000000000001421e+01,1.271984656644682730e+02,-5.928324677189304026e+01,-2.915218892575231369e+00,0.000000000000000000e+00,6.550000000000000000e+01,2.025000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.500000000000000000e+01,6.499999999999998579e+01,1.262708304452577863e+02,-5.788015942415218973e+01,-3.390671021105597482e+00,0.000000000000000000e+00,6.550000000000000000e+01,2.057999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.600000000000000000e+01,6.500000000000000000e+01,1.257367374402578264e+02,-5.727379472609633382e+01,-3.462942714161495683e+00,0.000000000000000000e+00,6.550000000000000000e+01,2.076999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.700000000000000000e+01,6.500000000000000000e+01,1.253713053842052005e+02,-5.699340994147009809e+01,-3.377895442735102893e+00,0.000000000000000000e+00,6.550000000000000000e+01,2.089999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.800000000000000000e+01,6.500000000000001421e+01,1.244717803231526005e+02,-5.569767770947404273e+01,-3.774102613678556484e+00,0.000000000000000000e+00,6.550000000000000000e+01,2.121999999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.900000000000000000e+01,6.500000000000001421e+01,1.243874498486789264e+02,-5.598303300684532502e+01,-3.404416841833599605e+00,0.000000000000000000e+00,6.550000000000000000e+01,2.125000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+01,6.500000000000001421e+01,1.236565857365736747e+02,-5.500789731729489773e+01,-3.648688419278775186e+00,0.000000000000000000e+00,6.550000000000000000e+01,2.151000000000000156e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.100000000000000000e+01,6.500000000000000000e+01,1.232911536805210631e+02,-5.474936896140037845e+01,-3.541784719120684599e+00,0.000000000000000000e+00,6.550000000000000000e+01,2.164000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
