tm,DVm,PVm
1.250000000000000000e+02,1.000000000000000000e+00,1.142500000000000043e-01
1.260000000000000000e+02,1.000000000000000000e+00,1.182500000000001050e-01
1.270000000000000000e+02,1.000000000000000000e+00,1.214999999999999830e-01
1.280000000000000000e+02,1.000000000000000000e+00,1.214999999999999830e-01
1.290000000000000000e+02,1.000000000000000000e+00,1.214999999999999830e-01
1.300000000000000000e+02,1.000000000000000000e+00,1.222500000000000114e-01
1.310000000000000000e+02,1.000000000000000000e+00,1.247500000000000553e-01
1.320000000000000000e+02,1.000000000000000000e+00,1.287500000000001421e-01
1.330000000000000000e+02,1.000000000000000000e+00,1.297500000000001152e-01
1.340000000000000000e+02,1.000000000000000000e+00,1.297500000000001152e-01
1.350000000000000000e+02,1.000000000000000000e+00,1.297500000000001152e-01
1.360000000000000000e+02,1.000000000000000000e+00,1.304999999999999771e-01
1.370000000000000000e+02,1.000000000000000000e+00,1.337500000000000355e-01
1.380000000000000000e+02,1.000000000000000000e+00,1.327500000000000624e-01
1.390000000000000000e+02,1.000000000000000000e+00,1.377500000000001223e-01
1.400000000000000000e+02,1.000000000000000000e+00,1.377500000000001223e-01
1.410000000000000000e+02,1.000000000000000000e+00,1.377500000000001223e-01
1.420000000000000000e+02,1.000000000000000000e+00,1.377500000000001223e-01
1.430000000000000000e+02,1.000000000000000000e+00,1.377500000000001223e-01
1.440000000000000000e+02,1.000000000000000000e+00,1.377500000000001223e-01
1.450000000000000000e+02,1.000000000000000000e+00,1.377500000000001223e-01
1.460000000000000000e+02,1.000000000000000000e+00,1.392500000000000127e-01
1.470000000000000000e+02,1.000000000000000000e+00,1.432500000000000995e-01
1.480000000000000000e+02,1.000000000000000000e+00,1.417500000000000426e-01
1.490000000000000000e+02,1.000000000000000000e+00,1.457500000000001295e-01
1.500000000000000000e+02,1.000000000000000000e+00,1.457500000000001295e-01
1.510000000000000000e+02,1.000000000000000000e+00,1.457500000000001295e-01
1.520000000000000000e+02,1.000000000000000000e+00,1.482499999999999929e-01
1.530000000000000000e+02,1.000000000000000000e+00,1.497500000000000497e-01
1.540000000000000000e+02,1.000000000000000000e+00,1.537500000000001366e-01
1.550000000000000000e+02,1.000000000000000000e+00,1.537500000000001366e-01
1.560000000000000000e+02,1.000000000000000000e+00,1.537500000000001366e-01
1.570000000000000000e+02,1.000000000000000000e+00,1.544999999999999984e-01
1.580000000000000000e+02,1.000000000000000000e+00,1.544999999999999984e-01
1.590000000000000000e+02,1.000000000000000000e+00,1.570000000000000284e-01
1.600000000000000000e+02,1.000000000000000000e+00,1.570000000000000284e-01
1.610000000000000000e+02,1.000000000000000000e+00,1.610000000000001152e-01
1.620000000000000000e+02,1.000000000000000000e+00,1.617499999999999771e-01
1.630000000000000000e+02,1.000000000000000000e+00,1.617499999999999771e-01
1.640000000000000000e+02,1.000000000000000000e+00,1.617499999999999771e-01
1.650000000000000000e+02,1.000000000000000000e+00,1.627500000000001168e-01
1.660000000000000000e+02,1.000000000000000000e+00,1.617499999999999771e-01
1.670000000000000000e+02,1.000000000000000000e+00,1.627500000000001168e-01
1.680000000000000000e+02,1.000000000000000000e+00,1.627500000000001168e-01
1.690000000000000000e+02,1.000000000000000000e+00,1.650000000000000355e-01
1.700000000000000000e+02,1.000000000000000000e+00,1.682500000000000939e-01
1.710000000000000000e+02,1.000000000000000000e+00,1.700000000000000955e-01
1.720000000000000000e+02,1.000000000000000000e+00,1.700000000000000955e-01
1.730000000000000000e+02,1.000000000000000000e+00,1.690000000000001223e-01
1.740000000000000000e+02,1.000000000000000000e+00,1.740000000000000158e-01
1.750000000000000000e+02,1.000000000000000000e+00,1.740000000000000158e-01
1.760000000000000000e+02,1.000000000000000000e+00,1.772500000000000742e-01
1.770000000000000000e+02,1.000000000000000000e+00,1.772500000000000742e-01
1.780000000000000000e+02,1.000000000000000000e+00,1.780000000000001026e-01
1.790000000000000000e+02,1.000000000000000000e+00,1.780000000000001026e-01
1.800000000000000000e+02,1.000000000000000000e+00,1.780000000000001026e-01
1.810000000000000000e+02,1.000000000000000000e+00,1.780000000000001026e-01
1.820000000000000000e+02,1.000000000000000000e+00,1.780000000000001026e-01
1.830000000000000000e+02,1.000000000000000000e+00,1.787500000000001310e-01
1.840000000000000000e+02,1.000000000000000000e+00,1.812499999999999944e-01
1.850000000000000000e+02,1.000000000000000000e+00,1.852500000000000813e-01
1.860000000000000000e+02,1.000000000000000000e+00,1.860000000000001097e-01
1.870000000000000000e+02,1.000000000000000000e+00,1.860000000000001097e-01
1.880000000000000000e+02,1.000000000000000000e+00,1.860000000000001097e-01
1.890000000000000000e+02,1.000000000000000000e+00,1.860000000000001097e-01
1.900000000000000000e+02,1.000000000000000000e+00,1.860000000000001097e-01
1.910000000000000000e+02,1.000000000000000000e+00,1.860000000000001097e-01
1.920000000000000000e+02,1.000000000000000000e+00,1.860000000000001097e-01
1.930000000000000000e+02,1.000000000000000000e+00,1.860000000000001097e-01
1.940000000000000000e+02,1.000000000000000000e+00,1.867499999999999716e-01
1.950000000000000000e+02,1.000000000000000000e+00,1.877500000000001390e-01
1.960000000000000000e+02,1.000000000000000000e+00,1.932500000000000884e-01
1.970000000000000000e+02,1.000000000000000000e+00,1.892500000000000016e-01
1.980000000000000000e+02,1.000000000000000000e+00,1.932500000000000884e-01
1.990000000000000000e+02,1.000000000000000000e+00,1.940000000000001168e-01
2.000000000000000000e+02,1.000000000000000000e+00,1.940000000000001168e-01
2.010000000000000000e+02,1.000000000000000000e+00,1.940000000000001168e-01
2.020000000000000000e+02,1.000000000000000000e+00,1.940000000000001168e-01
