tm,MVm,PVm
3.010000000000000000e+02,1.000000000000000000e+00,3.224999999999999534e-01
3.020000000000000000e+02,1.000000000000000000e+00,3.224999999999999534e-01
3.030000000000000000e+02,1.000000000000000000e+00,3.224999999999999534e-01
3.040000000000000000e+02,1.000000000000000000e+00,3.224999999999999534e-01
3.050000000000000000e+02,1.000000000000000000e+00,3.224999999999999534e-01
3.060000000000000000e+02,1.000000000000000000e+00,3.224999999999999534e-01
3.070000000000000000e+02,1.000000000000000000e+00,3.224999999999999534e-01
3.080000000000000000e+02,1.000000000000000000e+00,3.224999999999999534e-01
3.090000000000000000e+02,1.000000000000000000e+00,3.224999999999999534e-01
3.100000000000000000e+02,1.000000000000000000e+00,3.224999999999999534e-01
3.110000000000000000e+02,1.000000000000000000e+00,3.224999999999999534e-01
3.120000000000000000e+02,1.000000000000000000e+00,3.224999999999999534e-01
3.130000000000000000e+02,1.000000000000000000e+00,3.224999999999999534e-01
3.140000000000000000e+02,1.000000000000000000e+00,3.224999999999999534e-01
3.150000000000000000e+02,1.000000000000000000e+00,3.224999999999999534e-01
3.160000000000000000e+02,1.000000000000000000e+00,3.254999999999999005e-01
3.170000000000000000e+02,1.000000000000000000e+00,3.279999999999999583e-01
3.180000000000000000e+02,1.000000000000000000e+00,3.287499999999999867e-01
3.190000000000000000e+02,1.000000000000000000e+00,3.287499999999999867e-01
3.200000000000000000e+02,1.000000000000000000e+00,3.304999999999999605e-01
3.210000000000000000e+02,1.000000000000000000e+00,3.304999999999999605e-01
3.220000000000000000e+02,1.000000000000000000e+00,3.304999999999999605e-01
3.230000000000000000e+02,1.000000000000000000e+00,3.304999999999999605e-01
3.240000000000000000e+02,1.000000000000000000e+00,3.287499999999999867e-01
3.250000000000000000e+02,1.000000000000000000e+00,3.264999999999999014e-01
3.260000000000000000e+02,1.000000000000000000e+00,3.247499999999998721e-01
3.270000000000000000e+02,1.000000000000000000e+00,3.240000000000000102e-01
3.280000000000000000e+02,1.000000000000000000e+00,3.232499999999999818e-01
3.290000000000000000e+02,1.000000000000000000e+00,3.224999999999999534e-01
3.300000000000000000e+02,1.000000000000000000e+00,3.224999999999999534e-01
3.310000000000000000e+02,1.000000000000000000e+00,3.224999999999999534e-01
3.320000000000000000e+02,1.000000000000000000e+00,3.215000000000000080e-01
3.330000000000000000e+02,1.000000000000000000e+00,3.254999999999999005e-01
3.340000000000000000e+02,1.000000000000000000e+00,3.254999999999999005e-01
3.350000000000000000e+02,1.000000000000000000e+00,3.247499999999998721e-01
3.360000000000000000e+02,1.000000000000000000e+00,3.264999999999999014e-01
3.370000000000000000e+02,1.000000000000000000e+00,3.247499999999998721e-01
3.380000000000000000e+02,1.000000000000000000e+00,3.272499999999999298e-01
3.390000000000000000e+02,1.000000000000000000e+00,3.279999999999999583e-01
3.400000000000000000e+02,1.000000000000000000e+00,3.254999999999999005e-01
3.410000000000000000e+02,1.000000000000000000e+00,3.264999999999999014e-01
3.420000000000000000e+02,1.000000000000000000e+00,3.254999999999999005e-01
3.430000000000000000e+02,1.000000000000000000e+00,3.264999999999999014e-01
